Модуль ошибки
Время, с	Ошибка, м
732813310	31.0281
732813320	32.3033
732813330	32.3961
732813340	29.7709
732813350	29.9802
732813360	30.4766
732813370	30.5177
732813380	30.4174
732813390	30.8282
732813400	30.7862
732813410	31.5023
732813420	31.3142
732813430	31.1389
732813440	31.6237
732813450	31.555
732813460	31.8588
732813470	31.6748
732813480	31.9828
732813490	32.0349
732813500	31.9422
732813510	34.5147
732813520	25.9247
732813530	14.3998
732813540	15.0258
732813550	14.2948
732813560	14.1763
732813570	33.6422
732813580	31.5662
732813590	31.4385
732813600	30.5216
732813610	30.5776
732813620	31.4622
732813630	33.9308
732813640	34.3856
732813650	34.7603
732813660	34.0112
732813670	34.2808
732813680	33.4129
732813690	32.7214
732813700	29.2085
732813710	29.0274
732813720	29.1326
732813730	29.3929
732813740	34.2597
732813750	35.7709
732813760	35.1308
732813770	35.0996
732813780	35.5324
732813790	35.2973
732813800	35.2209
732813810	35.1108
732813820	35.6463
732813830	35.4816
732813840	33.3213
732813850	33.3911
732813860	33.0504
732813870	33.4068
732813880	33.3861
732813890	33.0767
732813900	32.8627
732813910	32.9865
732813920	33.1188
732813930	32.8172
732813940	32.7692
732813950	32.3216
732813960	32.3192
732813970	32.3567
732813980	32.1778
732813990	32.3016
732814000	32.1478
732814010	31.7425
732814020	31.6985
732814030	31.4216
732814040	31.145
732814050	31.7084
732814060	31.4423
732814070	31.2577
732814080	30.7918
732814090	31.0305
732814100	31.1021
732814110	31.6362
732814120	30.6533
732814130	29.8517
732814140	29.6181
732814150	30.2107
732814160	29.2313
732814170	30.3233
732814180	29.9243
732814190	30.0985
732814200	30.104
732814210	29.347
732814220	29.3325
732814230	29.1863
732814240	28.7795
732814250	27.274
732814260	30.7356
732814270	30.5478
732814280	30.285
732814290	29.8932
732814300	29.8519
732814310	29.8172
732814320	29.5978
732814330	29.0224
732814340	29.3217
732814350	29.5301
732814360	28.6019
732814370	28.6633
732814380	28.3435
732814390	28.0788
732814400	27.458
732814410	27.2631
732814420	26.8754
732814430	26.257
732814440	26.2559
732814450	25.9458
732814460	25.5546
732814470	25.4544
732814480	25.313
732814490	25.0478
732814500	24.8029
732814510	24.3289
732814520	23.7167
732814530	23.6435
732814540	23.8017
732814550	23.88
732814560	23.4776
732814570	22.6683
732814580	22.063
732814590	21.9769
732814600	21.2922
732814610	21.4671
732814620	20.7067
732814630	20.2963
732814640	19.9337
732814650	19.6843
732814660	19.4661
732814670	19.0419
732814680	18.9163
732814690	18.2771
732814700	17.7387
732814710	17.4707
732814720	17.1189
732814730	16.8123
732814740	16.3569
732814750	16.0659
732814760	15.7484
732814770	15.3377
732814780	15.0943
732814790	14.756
732814800	14.3653
732814810	13.7019
732814820	13.4931
732814830	13.0859
732814840	12.585
732814850	12.2444
732814860	11.8827
732814870	11.4015
732814880	10.8634
732814890	10.6883
732814900	10.2482
732814910	9.85182
732814920	9.55873
732814930	9.18248
732814940	8.57163
732814950	8.51079
732814960	8.18693
732814970	7.7192
732814980	7.30163
732814990	7.03396
732815000	6.37262
732815010	6.0761
732815020	5.73507
732815030	4.88359
732815040	4.64912
732815050	4.44769
732815060	3.87598
732815070	3.76915
732815080	3.24044
732815090	3.03051
732815100	2.45833
732815110	2.14191
732815120	2.04532
732815130	3.59606
732815140	3.18334
732815150	3.79269
732815160	4.41785
732815170	3.62372
732815180	5.64014
732815190	5.99498
732815200	4.69518
732815210	2.69755
732815220	3.12734
732815230	2.95277
732815240	3.3809
732815250	3.9464
732815260	4.26465
732815270	4.9199
732815280	5.10948
732815290	5.74566
732815300	6.45043
732815310	6.50873
732815320	6.74202
732815330	7.06708
732815340	7.40147
732815350	7.91423
732815360	8.28751
732815370	8.56248
732815380	8.9324
732815390	9.36835
732815400	9.87603
732815410	10.34
732815420	10.7072
732815430	11.163
732815440	11.2975
732815450	11.9699
732815460	12.4775
732815470	12.8078
732815480	13.704
732815490	14.017
732815500	14.2803
732815510	57.6938
732815520	57.8193
732815530	63.9779
732815540	62.8359
732815550	15.7211
732815560	17.4092
732815570	17.2572
732815580	17.9491
732815590	18.7656
732815600	19.3548
732815610	18.9176
732815620	19.4482
732815630	19.7977
732815640	20.6159
732815650	21.0098
732815660	21.3902
732815670	21.9856
732815680	22.5329
732815690	22.3079
732815700	22.427
732815710	23.3319
732815720	23.1649
732815730	23.2682
732815740	23.5453
732815750	23.7769
732815760	24.0869
732815770	24.5809
732815780	24.9011
732815790	25.798
732815800	25.8781
732815810	26.036
732815820	26.3771
732815830	27.7191
732815840	52.8346
732815850	54.2873
732815860	51.6854
732815870	53.5099
732815880	54.785
732815890	54.6882
732815900	55.3255
732815910	55.6629
732815920	58.1684
732815930	58.1173
732815940	57.7388
732815950	65.8689
732815960	65.8659
732815970	66.0154
732815980	66.7431
732815990	68.1363
732816000	68.116
732816010	69.3667
732816020	71.2648
732816030	72.1411
732816040	71.9979
732816050	71.9627
732816060	71.291
732816070	72.2905
732816080	72.9119
732816090	73.5285
732816100	74.9091
732816110	75.6612
732816120	76.6533
732816130	76.0685
732816140	75.1677
732816150	75.8205
732816160	76.5068
732816170	76.4346
732816180	76.4874
732816190	76.9104
732816200	76.5427
732816210	77.3105
732816220	77.2391
732816230	77.712
732816240	79.1266
732816250	79.8288
732816260	81.8065
732816270	82.9067
732816280	83.2788
